round,colony,treatment,dose,pristine/g,replicate,count,start_date,start_time,start_weight,end_date,end_time,end_weight,whole_dif,pristine_consumed,difference,percent_consumed,dose_consumed,id,pid,bees_alive,minmax
2,5.2R2,5,150000,0.00015,2,6,8/24/2022,12:00,1.23386,8/26/2022,11:00,1.13352,0.10034,0.000015051,0.18652,0.08132203,12198.30451,120,R2.5.2-6,5,0.117619768
2,4.5R2,4,15000,0.000015,5,13,9/7/2022,10:30,1.26831,9/9/2022,12:00,1.2082,0.06011,9.02E-07,0.18686,0.047393776,710.9066395,294,R2.4.5-13,2,0.11783734
2,1.11R2,1,0,0,11,23,10/3/2022,9:30,1.24179,10/4/2022,10:30,1.13708,0.10471,0,0.18827,0.084321826,0,1263,R2.1.11-23,5,0.118739621
2,2.4R2,2,150,0.00000015,4,3,8/16/2022,14:00,1.11532,8/18/2022,14:00,1.04421,0.07111,1.07E-08,0.18865,0.063757487,9.563622996,824,R2.2.4-3,5,0.118982789
2,4.1R2,4,15000,0.000015,1,6,8/20/2022,14:50,0.83304,8/22/2022,11:00,0.75058,0.08246,1.24E-06,0.18973,0.098986843,1484.802651,418,R2.4.1-6,5,0.119673899
2,4.5R2,4,15000,0.000015,5,14,9/9/2022,11:30,1.03818,9/11/2022,12:00,0.92239,0.11579,1.74E-06,0.19029,0.111531719,1672.975785,295,R2.4.5-14,2,0.120032252
2,1.9R2,1,0,0,9,4,8/20/2022,14:50,1.05292,8/22/2022,11:00,0.97085,0.08207,0,0.19065,0.077945143,0,1009,R2.1.9-4,5,0.120262622
2,5.12R2,5,150000,0.00015,12,13,9/15/2022,9:45,1.21789,9/17/2022,11:30,1.1133,0.10459,1.57E-05,0.19136,0.085878035,12881.70524,209,R2.5.12-13,5,0.120716962
2,1.2R2,1,0,0,2,10,9/1/2022,10:30,1.13098,9/3/2022,12:20,1.00512,0.12586,0,0.1914,0.111284019,0,1142,R2.1.2-10,5,0.120742559
2,3.11R2,3,1500,0.0000015,11,15,9/17/2022,11:00,1.19282,9/19/2022,12:00,1.08929,0.10353,1.55E-07,0.19147,0.086794319,130.191479,753,R2.3.11-15,5,0.120787353
2,4.3R2,4,15000,0.000015,3,4,8/16/2022,14:00,0.78632,8/18/2022,14:00,0.6845,0.10182,1.53E-06,0.19192,0.129489266,1942.338997,331,R2.4.3-4,5,0.121075315
2,5.12R2,5,150000,0.00015,12,28,10/15/2022,10:00,1.39011,10/17/2022,9:30,1.28354,0.10657,1.60E-05,0.19345,0.076662998,11499.44968,224,R2.5.12-28,5,0.122054386
2,5.3R2,5,150000,0.00015,3,5,8/18/2022,13:00,1.18229,8/20/2022,16:15,1.07221,0.11008,0.000016512,0.19532,0.093107444,13966.1166,84,R2.5.3-5,5,0.123251029
2,4.2R2,4,15000,0.000015,2,19,9/19/2022,10:45,1.07709,9/21/2022,12:00,0.95876,0.11833,1.77E-06,0.19585,0.109860829,1647.912431,387,R2.4.2-19,4,0.123590185
2,4.1R2,4,15000,0.000015,1,7,8/22/2022,10:30,1.26773,8/24/2022,13:00,1.17814,0.08959,1.34E-06,0.19605,0.070669622,1060.044331,419,R2.4.1-7,5,0.123718168
