"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.8",36,1.0948,0.0469,1,2.5691,0.0228,"111",0.0182,0.0046,0.0018,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.14",38,1.1732,0.0446,1,2.5979,0.0215,"171",0.0174,0.0041,0.0016,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.15",38,1.3667,0.0387,1,2.5518,0.0173,"172",0.0128,0.0046,0.0018,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.16",38,1.2035,0.0556,1,2.6182,0.0256,"173",0.0204,0.0052,0.002,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.1",32,1.1763,0.0355,1,2.4525,0.0131,"21",NA,NA,NA,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.22",39,1.2506,0.0575,1,2.3228,0.0306,"210",0.0226,0.008,0.0034,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.13",38,1.3347,0.0585,1,2.5452,0.0383,"170",0.0344,0.0039,0.0015,4,TRUE,"B4",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.3",34,1.0752,0.0437,1,2.5545,0.0252,"63",0.0169,0.0083,0.0032,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.8",39,1.0847,0.0475,1,2.4427,0.0255,"218",0.0215,0.004,0.0016,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.2",32,1.1744,0.0537,1,2.4722,0.0274,"24",NA,NA,NA,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.4",35,1.1505,0.0566,1,2.702,0.0325,"84",0.028,0.0045,0.0017,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.9",39,1.0275,0.0377,1,2.6468,0.0164,"219",0.0124,0.0041,0.0015,5,TRUE,"B1",37
"1.7R2",0.740038052631579,0,"2","1","7","1.7R2.1",32,1.1575,0.0377,1,2.1917,0.018,"23",NA,NA,NA,5,TRUE,"B1",37
